COTS Surveillance Id,Tow time,Vessel,Voyage,Reef label,Reef name,Start lat,Start long,End lat,End long,Distance (metres),Average speed (km/h),COTS observed,Feeding scars,Hard coral,Soft coral,Dead coral,Created on,Created by,Updated on,Updated by
,1/08/2022,Venus,,15-085,Massive Bitty Reef,-15.9679989,145.702851,-14.9692677,145.7027672,169,5.11,0,a,2+,1-,0,18/07/2022,DATA_MIGRATION,,
,1/08/2022,Venus,1000,15-085,Massive Bitty Reef,-15.9679989,145.702851,-14.9692677,145.7028152,174.6,5.29,0,a,3-,0,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.019102,145.6967644,-15.017562,145.6971029,187.6,5.65,0,p,3+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0174441,145.6972353,-15.0163588,145.6983338,179.4,5.4,0,k,2+,2-,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,Ribbon No 9 Reef (14-154),-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,DINO,-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,QPWS Reef Ranger,FMPCR22-04,14-154,DINO,-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,CHICKEN,FISHBOAT,14-154,PINK,-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,CHICKEN,FISHBOAT,14-154,PINK,-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,1/07/2022,CHICKEN,FISHBOAT,14-154,PINK,-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,a,2+,2+,0,18/07/2022,DATA_MIGRATION,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
